nome,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Desenvolvedor(a) .NET",Não especificado,Remoto,CLT,,HTML,JavaScript,MVC,.NET,Angular,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack (React & Node)",Não especificado,Remoto,PJ,7.000,JavaScript,MongoDB,Node.js,PostgreSQL,ReactJS,React Native,,,,,,
"Vencida, DESENVOLVEDOR(A) PLENO",Pleno,Não Remoto,CLT,,JavaScript,.NET,SQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-end .NET Pleno",Pleno,Remoto,PJ,8.000,.NET,RESTful,SQL Server,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-end Java Sênior",Sênior,Remoto,PJ,12.000,Java,MySQL,RESTful,Spring Boot,,,,,,,,
"Vencida, Desenvolvedor(a) Back-end Java Pleno",Pleno,Remoto,PJ,10.000,Java,MySQL,RESTful,Spring Boot,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Angular Pleno",Pleno,Remoto,PJ,10.000,Angular,JavaScript,RESTful,TypeScript,,,,,,,,
"Vencida, DevOps Sênior",Sênior,Remoto,CLT / PJ,,AWS EC2 (Elastic Compute Cloud),Cloud,kubernetes,,,,,,,,,
"Vencida, DESENVOLVEDOR(A) DE SISTEMAS SENIOR",Não especificado,Não Remoto,PJ,10.000,Ajax,Angular,JSON,Node.js,PHP,,,,,,,
"Vencida, DESENVOLVEDOR(A) DE SISTEMAS PLENO",Pleno,Não Remoto,PJ,7.000,Ajax,Angular,JSON,Node.js,PHP,,,,,,,
"Vencida, Desenvolvedor(a) PHP",Não especificado,Remoto,PJ,3.500,JavaScript,PHP,Bootstrap,CSS,Git,HTML,,,,,,
"Vencida, Desenvolvedor(a) e design em JAVA, PL/SQL - Sênior",Sênior,Remoto,PJ,15.000,Java,JavaScript,JSON,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) React Native",Não especificado,Remoto,CLT,,Angular,Dart,Flutter,Ionic,React Native,Vue.js,,,,,,
"Vencida, [VAGA] - Engenheiro(a) de Automação",Não especificado,Não Remoto,PJ,5.000,Arduino,C++,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET CORE ",Não especificado,Remoto,PJ,12.000,C#,.NET,SQL,,,,,,,,,
"Vencida, Programador(a) React Native",Não especificado,Não Remoto,CLT / PJ,8.000,API,ES6,JavaScript,React Native,RESTful,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) Vue.js (2 anos)",Não especificado,Remoto,PJ,3.500,CSS,Git,JavaScript,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno PHP",Pleno,Não Remoto,PJ,5.000,Laravel,MVC,MySQL,PHP,PostgreSQL,RESTful,,,,,,
"Vencida, Desenvolvedor(a) Front end Sr",Não especificado,Remoto,PJ,10.000,Android,Git,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) web PHP",Não especificado,Remoto,PJ,4.000,API,CSS,HTML,PHP,SEO,WordPress,,,,,,
"Vencida, Desenvolvedor(a) Dynamics",Não especificado,Remoto,CLT,,C#,JavaScript,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) Full-Stack - Laravel PHP",Não especificado,Remoto,PJ,4.000,JavaScript,Laravel,PHP,AWS EC2 (Elastic Compute Cloud),HTML,MariaDB,,,,,,
"Vencida, Desenvolvedor(a) Pleno Remoto Full Stack",Pleno,Remoto,PJ,7.000,JavaScript,Node.js,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Front End Pleno",Pleno,Remoto,CLT / PJ,,CSS,HTML,JavaScript,,,,,,,,,
"Vencida, Pessoa desenvolvedora C# - pleno",Pleno,Remoto,PJ,6.000,Azure,C#,.NET,SQL Server,,,,,,,,
"Vencida, Desenvolvedor(a) Vue Full Stack Júnior",Júnior,Remoto,PJ,2.500,Django,Python,JavaScript,Vue.js,,,,,,,,
"Vencida, DESENVOLVEDOR(A) LARAVEL/PHP PLENO",Pleno,Remoto,PJ,3.500,Laravel,MySQL,PHP,,,,,,,,,
"Vencida, Desenvolvedor(a) Ruby on Rails Pleno",Pleno,Remoto,PJ,8.000,Docker,Git,Ruby,Ruby on Rails,,,,,,,,
"Vencida, Desenvolvedor(a) Ruby on Rails Sênior",Sênior,Remoto,PJ,12.000,Ruby on Rails,SQL,Docker,Git,Ruby,,,,,,,
"Vencida, Desenvolvedor ",Não especificado,Remoto,PJ,7.000,Bootstrap,HTML,jQuery,ReactJS,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) ",Não especificado,Remoto,PJ,7.000,CSS,JavaScript,jQuery,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) Web ",Não especificado,Não Remoto,CLT,8.000,C#,JavaScript,jQuery,.NET,SQL,,,,,,,
"Vencida, DESENVOLVEDOR(A) DE SOFTWARE",Não especificado,Não Remoto,CLT,,API,JavaScript,NoSQL,Python,,,,,,,,
"Vencida, Desenvolvedor Mobile",Não especificado,Não Remoto,PJ,4.000,Flutter,Ionic,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) React ",Não especificado,Não Remoto,CLT,3.500,Node.js,JavaScript,ReactJS,,,,,,,,,
"Vencida, Programador(a) .NET",Não especificado,Remoto,CLT,3.000,SQL,ERP,.NET,,,,,,,,,
"Vencida, ANALISTA DE SISTEMAS ",Não especificado,Não Remoto,CLT,2.500,JavaScript,PHP,SQL,C#,C++,,,,,,,
"Vencida, Programador(a) Delphi",Não especificado,Remoto,CLT,4.000,Delphi,ERP,SQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End ASP.NET Core Senior",Não especificado,Remoto,PJ,12.000,ASP.NET Core,C#,.NET,SQL Server,,,,,,,,
"Vencida, Estágio em Desenvolvimento de Sistemas PHP",Não especificado,Não Remoto,Estágio,1.500,HTML,JavaScript,MySQL,PHP,,,,,,,,
"Vencida, Analista de Desenvolvimento de Sistemas  PHP Jr",Não especificado,Não Remoto,CLT,2.500,JavaScript,Laravel,MySQL,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) .NET",Não especificado,Não Remoto,CLT / PJ,6.000,Administrador de sistema,ASP.NET Core,.NET,,,,,,,,,
"Vencida, Data Science",Não especificado,Remoto,CLT / PJ,6.000,Data science,Machine learning,Python,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) Web C#",Não especificado,Remoto,PJ,10.000,.NET,Git,HTML,JavaScript,SQL,C#,,,,,,
"Vencida, Desenvolvedor(a) WEB ",Não especificado,Remoto,PJ,8.000,ReactJS,SQL,API,Java,JavaScript,Node.js,,,,,,
"Vencida, Desenvolvedor(a) mobile - React Native",Não especificado,Remoto,PJ,,React Native,Android,iOS,,,,,,,,,
"Vencida, Desenvolvedor(a) Flutter Pleno",Pleno,Remoto,CLT,7.000,Clean,Flutter,Git,PostgreSQL,,,,,,,,
"Vencida, Developer ReactJS Sênior",Sênior,Remoto,PJ,15.000,CSS,HTML,JavaScript,ReactJS,Redux,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) backend - Django",Não especificado,Remoto,PJ,,Django,Python,Testes unitários,,,,,,,,,
"Vencida, Pessoa Desenvolvedora Node.js Sênior",Sênior,Remoto,PJ,18.000,TypeScript,JavaScript,Node.js,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET C#",Não especificado,Remoto,CLT,5.000,API,.NET,Xamarin,,,,,,,,,
"Vencida, Desenvolvedor(a) Wordpress SR",Não especificado,Remoto,PJ,,WooCommerce,PHP,WordPress,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a)",Não especificado,Não Remoto,CLT / PJ,6.000,Android,CSS,Ionic,JavaScript,SQLite,,,,,,,
"Vencida, Desenvolvedor(a) Pleno(a) - Full Stack Ruby ",Pleno,Remoto,PJ,10.000,Ruby on Rails,JavaScript,PostgreSQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Front-end ",Não especificado,Não Remoto,CLT / PJ,12.000,CSS,Firebase,HTML,HTTP,JavaScript,RESTful,,,,,,
"Vencida, Desenvolvedor(a) JAVA Fullstack Pleno ",Pleno,Não Remoto,CLT,7.000,JavaScript,CSS,HTML,Java,,,,,,,,
"Vencida, Programador(a) Back End Laravel PHP",Não especificado,Remoto,PJ,3.000,AWS EC2 (Elastic Compute Cloud),Git,JavaScript,Laravel,MySQL,PHP,,,,,,
"Vencida, Pessoa Desenvolvedora FullStack - Phyton- Angular Pleno",Pleno,Remoto,CLT,,Azure,Git,Python,SQL,Angular,,,,,,,
"Vencida, Flutter Mobile Engineer (Pleno)",Pleno,Remoto,CLT,,Android,API,iOS,Flutter,,,,,,,,
"Vencida, Desenvolvedor(a) PHP",Não especificado,Não Remoto,CLT,3.000,Angular,CSS,HTML,JavaScript,PHP,Slim,,,,,,
"Vencida, Desenvolvedor(a) Java",Não especificado,Não Remoto,CLT,,CSS,HTML,Java,MySQL,ORACLE,SQL,,,,,,
"Vencida, Desenvolvedor(a) Back End C# .Net",Não especificado,Remoto,PJ,8.000,C#,DevOps,Docker,.NET,.NET Core,,,,,,,
"Vencida, Analista de Testes  -  Pleno",Pleno,Remoto,CLT / PJ,4.000,Java,PHP,Selenium,,,,,,,,,
"Vencida, Analista de Desenvolvimento de Sistemas  PHP Jr",Não especificado,Não Remoto,CLT,2.500,Laravel,MySQL,JavaScript,PHP,,,,,,,,
"Vencida, Analista Programador(a) Front-end",Não especificado,Remoto,PJ,3.000,Angular,CSS,HTML,MongoDB,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) PHP Júnior",Júnior,Remoto,CLT,4.000,PHP,MySQL,Bootstrap,JavaScript,jQuery,Zend,,,,,,
"Vencida, Tech Lead ",Não especificado,Remoto,CLT / PJ,,PHP,Node.js,Magento,PostgreSQL,,,,,,,,
"Vencida, Back-End Sênior - Foco em NodeJs",Sênior,Remoto,CLT / PJ,,Node.js,ES6,PostgreSQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile - Flutter",Não especificado,Remoto,CLT / PJ,5.000,API,Dart,Flutter,Git,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile",Não especificado,Não Remoto,PJ,8.000,Flutter,Ionic,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Elixir Pleno",Pleno,Remoto,CLT / PJ,10.000,Elixir,Phoenix,PostgreSQL,,,,,,,,,
"Vencida, Designer/Front-end Júnior",Júnior,Remoto,PJ,2.000,CSS,HTML,JavaScript,,,,,,,,,
"Vencida, Developer FullStack Node & Java",Não especificado,Remoto,PJ,15.000,Java,Node.js,ReactJS,JavaScript,,,,,,,,
"Vencida, Arquiteto de Software",Não especificado,Não Remoto,CLT,10.000,Angular,Docker,Laravel,PHP,MySQL,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Pleno",Pleno,Remoto,CLT / PJ,7.000,Angular,JavaScript,ReactJS,React Native,,,,,,,,
"Vencida, Desenvolvedor(a) Front End Júnior",Júnior,Remoto,CLT / PJ,5.000,ReactJS,React Native,Angular,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a) PHP Fullstack",Não especificado,Remoto,PJ,2.000,CSS,HTML,JavaScript,JSON,PHP,SQL,,,,,,
"Vencida, Desenvolvedor(a) Backend Sênior",Sênior,Remoto,CLT,,AWS S3,Java,NoSQL,Spring,SQL,,,,,,,
"Vencida, Desenvolvedor Junior JAVA/SQL",Não especificado,Remoto,PJ,2.000,Git,Java,Python,SQL,,,,,,,,
"Vencida,  Senior Software Engineer (Backend) -  Pagamento em Dólar",Não especificado,Remoto,PJ,,CSS,Go,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Xamarin Júnior ou Pleno ",Pleno,Remoto,CLT,,Android,C#,.NET,Xamarin,,,,,,,,
"Vencida, Desenvolvedor(a) React Native Sênior",Sênior,Remoto,CLT / PJ,,Design Pattern,JavaScript,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) React.js PL e SR",Não especificado,Remoto,CLT,5.000,ES6,GraphQL,Gulp,JavaScript,ReactJS,,,,,,,
"Vencida, VueJS - Junior ou Pleno",Pleno,Remoto,PJ,5.000,JavaScript,TypeScript,Vue.js,,,,,,,,,
"Vencida, Desenvolvedor / Programador ",Não especificado,Não Remoto,PJ,3.000,CSS,Django,JavaScript,Laravel,Python,PHP,,,,,,
"Vencida, Desenvolvedor(a) Front End",Não especificado,Não Remoto,CLT,,HTML,JavaScript,Git,TypeScript,CSS,,,,,,,
"Vencida, Desenvolvedor(a) Front-End (Angular e TypeScript)",Não especificado,Remoto,PJ,15.000,Angular,HTML,RESTful,TypeScript,JavaScript,Sass,,,,,,
"Vencida, Desenvolvedor(a) Frontend - HTML e CSS",Não especificado,Remoto,CLT,4.000,Ajax,HTML,jQuery,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a) fullstack PHP Junior",Não especificado,Remoto,PJ,,CSS,HTML,JavaScript,Laravel,PHP,WordPress,,,,,,
"Vencida, Desenvolvedor(a) Delphi Júnior",Júnior,Remoto,PJ,2.000,HTML,JavaScript,Delphi,,,,,,,,,
"Vencida, Desenvolvedor(a) Delphi Pleno",Pleno,Remoto,PJ,3.000,HTML,JavaScript,Delphi,,,,,,,,,
"Vencida, Desenvolvedor(a) Front End React Pleno ",Pleno,Remoto,CLT / PJ,,API,JavaScript,ReactJS,React Native,Redux,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno",Pleno,Remoto,PJ,7.000,API,CSS,Hibernate,Java,JavaScript,,,,,,,
"Vencida, programador(a) java",Não especificado,Não Remoto,CLT / PJ,5.000,Android,Java,JavaScript,Web Services,,,,,,,,
"Vencida, Engenheiro (a) de Software Sênior - Node.JS e ReactJS",Sênior,Remoto,CLT,12.000,Node.js,ReactJS,Azure,GraphQL,JavaScript,MongoDB,,,,,,
"Vencida, Engenheiro(a) de Software Pleno - Node.JS e ReactJS",Pleno,Remoto,CLT,8.000,Azure,GraphQL,JavaScript,MongoDB,Node.js,ReactJS,,,,,,
"Vencida, Desenvolvedor(a) de plugins WordPress",Não especificado,Remoto,CLT,5.000,API,MySQL,PHP,WordPress,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Pleno",Pleno,Remoto,PJ,7.000,Angular,JavaScript,CSS,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-end Javascript / Node - Sênior",Sênior,Remoto,PJ,15.000,API,Git,JavaScript,Node.js,,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno",Pleno,Remoto,CLT,,Spring Boot,API,Design Pattern,Java,,,,,,,,
"Vencida, Pessoas de Desenvolvimento Java Sênior",Sênior,Remoto,PJ,15.000,Git,Java,RESTful,Spring,,,,,,,,
"Vencida, Backend Python Developer",Não especificado,Remoto,CLT / PJ,8.000,Python,RESTful,Django,SQL,,,,,,,,
"Vencida, Frontend React Developer",Não especificado,Remoto,CLT / PJ,8.000,CSS,HTML,JavaScript,ReactJS,,,,,,,,
"Vencida, Salesforce Developer ",Não especificado,Remoto,CLT / PJ,8.000,JavaScript,Node.js,RESTful,Web Services,Salesforce,,,,,,,
"Vencida, Desenvolvedor(a) Angular Sênior",Sênior,Remoto,PJ,15.000,Angular,CSS,Git,HTML,JavaScript,,,,,,,
"Vencida, Programador(a) Full Stack Symfony / React",Não especificado,Remoto,PJ,6.000,Docker,Git,PHP,ReactJS,Symfony,MySQL,,,,,,
"Vencida, Desenvolvedor(a) FullStack",Não especificado,Remoto,PJ,3.500,CSS,Laravel,MySQL,PHP,React Native,,,,,,,
"Vencida, Desenvolvedor(a) Front-end Pleno",Pleno,Remoto,PJ,6.000,CSS,JavaScript,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) C# e/ou Angular",Não especificado,Remoto,PJ,,JavaScript,C#,CSS,Angular,MVC,SQL,,,,,,
"Vencida, Analista Programador(a) IOS",Não especificado,Remoto,CLT,,iOS,Firebase,Swift,,,,,,,,,
"Vencida, Analista Programador(a) Android ",Não especificado,Remoto,CLT,,Android,Firebase,Testes unitários,Java,,,,,,,,
"Vencida, Desenvolvedor(a) FULL STACK",Não especificado,Não Remoto,PJ,,JavaScript,CSS,HTML,PHP,SQL,,,,,,,
"Vencida, Desenvolvedor(a) .Net Core Pleno ",Pleno,Remoto,CLT / PJ,,C#,CSS,HTML,SQL Server,.NET,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Sênior - JavaScript (Node/React)",Sênior,Remoto,PJ,7.000,ReactJS,Git,JavaScript,MongoDB,MySQL,Node.js,,,,,,
"Vencida, Desenvolvedor(a) Java I",Não especificado,Remoto,CLT,8.000,Java,API,Docker,JavaScript,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Sênior",Sênior,Remoto,PJ,15.000,ReactJS,Angular,Python,JavaScript,CSS,,,,,,,
"Vencida, React Developer",Não especificado,Remoto,PJ,12.000,CSS,JavaScript,ReactJS,Redux,Styled-Components,,,,,,,
"Vencida, Rails Developer",Não especificado,Remoto,PJ,12.000,API,Ruby on Rails,PostgreSQL,,,,,,,,,
"Vencida, Pessoa Desenvolvedora Back-end Júnior",Júnior,Remoto,PJ,,ReactJS,JavaScript,Node.js,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) React Native - Sênior",Sênior,Remoto,CLT,,Android,iOS,React Native,Java,,,,,,,,
"Vencida, Pessoa Desenvolvedora Javascript Fullstack Pleno",Pleno,Remoto,PJ,,JavaScript,Node.js,ReactJS,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) Júnior (Dados)",Júnior,Não Remoto,CLT,,C,Excel,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack - Node, React e Native - Pleno (Home Office)",Pleno,Remoto,PJ,8.000,CSS,Node.js,ReactJS,React Native,TypeScript,SQL,,,,,,
"Vencida, Desenvolvedor(a) (PHP)",Não especificado,Remoto,PJ,,PHP,API,Laravel,,,,,,,,,
"Vencida, PROGRAMADOR(A) JAVA RED HAT",Não especificado,Remoto,CLT / PJ,8.000,Java,Cloud,Linux,,,,,,,,,
"Vencida, Desenvolvedor(a) Python - SR",Não especificado,Remoto,CLT,,Docker,Python,SQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno",Pleno,Não Remoto,CLT / PJ,,Java,JavaScript,SQL,Bootstrap,Spring,,,,,,,
"Vencida, Desenvolvedores Java",Não especificado,Remoto,PJ,,Angular,Bootstrap,HTML,Java,SQL,,,,,,,
"Vencida, Desenvolvedor(a) PHP Pleno",Pleno,Não Remoto,CLT / PJ,7.000,jQuery,MySQL,PHP,CSS,HTML,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Não Remoto,CLT,6.000,HTML,PHP,MySQL,JavaScript,CSS,,,,,,,
"Vencida, Desenvolvedor(a) Web PHP",Não especificado,Remoto,CLT / PJ,,PHP,HTML,JavaScript,MySQL,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End",Não especificado,Remoto,CLT,,CSS,HTML,JavaScript,,,,,,,,,
"Vencida, Arquiteto de Software",Não especificado,Remoto,CLT,10.000,Java,Flutter,Ionic,React Native,,,,,,,,
"Vencida, Analista de Suporte à Aplicação (.Net)",Não especificado,Não Remoto,CLT,,C#,.NET,SQL Server,,,,,,,,,
"Vencida, Programador(a) Delphi para ERP",Não especificado,Não Remoto,CLT,,SQL Server,Delphi,JSON,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack Java e WEB (JSP/Servlets)",Não especificado,Remoto,PJ,8.000,JavaScript,Git,Java,RESTful,CSS,SQL,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Remoto,CLT / PJ,,Git,Node.js,ReactJS,SQL,CSS,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Back-End - Pleno",Pleno,Remoto,CLT / PJ,,API,Git,Node.js,NoSQL,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Pleno",Pleno,Remoto,CLT / PJ,,CSS,HTML,JavaScript,ReactJS,Redux,Styled-Components,,,,,,
"Vencida, Desenvolvedor(a) Pleno",Pleno,Remoto,PJ,,CSS,Docker,Git,JavaScript,PHP,MySQL,,,,,,
"Vencida, Líder Técnico Android",Não especificado,Não Remoto,CLT,7.000,C++,Java,Android,,,,,,,,,
"Vencida, DESENVOLVEDOR(A) DELPHI SÊNIOR ",Sênior,Remoto,CLT / PJ,10.000,Delphi,Git,SQL,SQL Server,,,,,,,,
"Vencida, Desenvolvedor(a) Python Sênior",Sênior,Remoto,PJ,10.000,Python,Django,API,Git,PostgreSQL,,,,,,,
"Vencida, DESENVOLVEDOR(A) LARAVEL",Não especificado,Remoto,PJ,4.000,API,Bootstrap,jQuery,Laravel,PHP,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) .Net",Não especificado,Remoto,CLT,10.000,JavaScript,API,CSS,C#,SQL,.NET,,,,,,
"Vencida, Desenvolvedor(a) Python | Pleno",Pleno,Remoto,PJ / CLT,7.000,CSS,Flask,Python,ReactJS,PostgreSQL,,,,,,,
"Vencida, Desenvolvedor(a) PHP Júnior",Júnior,Não Remoto,CLT / PJ,2.000,PHP,SQL Server,Laravel,,,,,,,,,
"Vencida, Pessoa Desenvolvedora FrontEnd (Angular) ",Não especificado,Remoto,CLT,,Angular,API,HTML,CSS,JavaScript,,,,,,,
"Vencida, Programador(a) Full-Stack - Rede social pacientes com câncer",Não especificado,Remoto,PJ,8.000,Angular,JavaScript,Node.js,ReactJS,Git,,,,,,,
"Vencida, Desenvolvedor(a) Júnior Back-End - Python",Júnior,Não Remoto,CLT,6.000,Flask,Python,SCRUM,,,,,,,,,
"Vencida, Dev Mobile/Front-end Pleno Especialista",Pleno,Remoto,CLT,,iOS,Flutter,Swift,,,,,,,,,
"Vencida, Desenvolvedor(a) Python",Não especificado,Remoto,CLT,10.000,NoSQL,ORACLE,Python,MongoDB,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Nodejs Pleno",Pleno,Remoto,CLT,,PostgreSQL,ReactJS,MongoDB,Node.js,,,,,,,,
"Vencida, Analista de Suporte Técnico ",Não especificado,Não Remoto,CLT,,SQL,SQL Server,ORACLE,,,,,,,,,
"Vencida, Pessoa Desenvolvedora Mobile - React Native",Não especificado,Remoto,CLT,,Git,JSON,React Native,RESTful,,,,,,,,
"Vencida, Analista Programador(a) Delphi",Não especificado,Não Remoto,CLT,,Delphi,POO,SQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Delphi",Não especificado,Remoto,CLT,,C#,.NET,API,Delphi,PLSQL,SQL,,,,,,
"Vencida, Analista de T.I ",Não especificado,Não Remoto,CLT,7.000,HTML,C#,JavaScript,SQL Server,,,,,,,,
"Vencida, Desenvolvedor(a) Javascript",Não especificado,Remoto,CLT,3.000,Angular,Django,Git,Ionic,JavaScript,MySQL,,,,,,
"Vencida, Java Engineer (remote)",Não especificado,Remoto,PJ,15.000,Git,Azure,Java,,,,,,,,,
"Vencida, Desenvolvedor(a) de Software Android",Não especificado,Não Remoto,CLT,7.000,Java,Linux,Android,,,,,,,,,
"Vencida, Desenvolvedor(a) C/C++ (Android embarcado)",Não especificado,Não Remoto,CLT,7.000,C,C++,Linux,Android,,,,,,,,
"Vencida, Desenvolvedor(a) Full-stack",Não especificado,Não Remoto,CLT,,JavaScript,MySQL,Node.js,Angular,CSS,,,,,,,
"Vencida, Software Engineer - ReactJS (Remoto)",Não especificado,Remoto,PJ,15.000,JavaScript,CSS,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) VB ASP .NET",Não especificado,Remoto,CLT,8.000,Bootstrap,Angular,CSS,.NET,SQL Server,VBA,,,,,,
"Vencida, Full Stack Web Developer",Não especificado,Remoto,PJ,8.000,Git,Node.js,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) ReactJS",Não especificado,Remoto,PJ,5.000,Git,JavaScript,ReactJS,Redux,Styled-Components,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) Pleno",Pleno,Não Remoto,CLT,5.000,ReactJS,Node.js,Spring Boot,SQL,Git,,,,,,,
"Vencida, Desenvolvedor(a) Backend Ruby | Pleno",Pleno,Remoto,PJ,,Git,PostgreSQL,Ruby on Rails,,,,,,,,,
"Vencida, Backend Developer Ruby | Sênior",Sênior,Remoto,PJ,,Git,PostgreSQL,Ruby on Rails,,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno: C# / ASP.NET MVC / Javascript",Pleno,Não Remoto,CLT,,C#,ASP.NET MVC,.NET,JavaScript,SQL Server,CSS,,,,,,
"Vencida, Engenheiros de Dados Pl - Azure / GCP",Não especificado,Não Remoto,CLT / PJ,,SQL,Azure,Python,NoSQL,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End .NET Pleno/Sênior",Sênior,Remoto,PJ,,SQL Server,Azure,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) WordPress",Não especificado,Remoto,PJ,3.500,WordPress,CSS,PHP,MySQL,,,,,,,,
"Vencida, Desenvolvedor(a) Backend - Júnior",Júnior,Remoto,PJ,2.500,Git,Laravel,MySQL,PHP,PHPUnit,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack - Júnior",Júnior,Remoto,PJ,3.500,RESTful,Laravel,PHP,CSS,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) .NET",Não especificado,Remoto,PJ,,SCRUM,.NET,ASP.NET MVC,,,,,,,,,
"Vencida, Desenvolvedor(a) FullStack Node (Pleno)",Pleno,Remoto,PJ,5.000,API,Git,Node.js,ReactJS,TypeScript,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Microsoft .Net",Não especificado,Remoto,PJ,,HTML,.NET,JavaScript,C#,SQL,,,,,,,
"Vencida, Desenvolvedor(a) .NET Sênior",Sênior,Não Remoto,PJ,10.000,.NET,API,Angular,C#,SQL Server,,,,,,,
"Vencida, Desenvolvedor(a) .NET Pleno",Pleno,Não Remoto,PJ,6.000,Angular,.NET,API,C#,SQL Server,,,,,,,
"Vencida, Desenvolvedor(a) .NET Júnior",Júnior,Não Remoto,PJ,4.000,Angular,.NET,C#,SQL Server,API,,,,,,,
"Vencida, Programador(a) Delphi ",Não especificado,Não Remoto,CLT,4.000,Delphi,PostgreSQL,SQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno Full Stack",Pleno,Não Remoto,CLT / PJ,,Docker,JavaScript,Linux,MongoDB,Node.js,ReactJS,,,,,,
"Vencida, Desenvolvedor(a) FullStack Pleno",Pleno,Não Remoto,CLT / PJ,,Bootstrap,CSS,HTML,PHP,jQuery,,,,,,,
"Vencida, Desenvolvedor(a) Back-End NodeJs Pleno",Pleno,Remoto,PJ,6.000,AdonisJS,Git,MariaDB,MySQL,Node.js,RESTful,,,,,,
"Vencida, Desenvolvedor(a) Android Pleno",Pleno,Não Remoto,PJ,7.000,Android,MVVM,Testes unitários,Kotlin,,,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Remoto,CLT,,Angular,Java,Spring,,,,,,,,,
"Vencida, .Net Core Developer",Não especificado,Remoto,PJ,10.000,Bootstrap,Entity framework,SQL Server,ASP,.NET,JavaScript,,,,,,
"Vencida, (Pleno) Full Stack Developer | Remoto (Qualquer lugar do Brasil)",Pleno,Remoto,CLT,,Java,JavaScript,Spring,Spring Boot,CSS,,,,,,,
"Vencida, Desenvolvedor(a) React Pleno",Pleno,Remoto,PJ,5.000,PWA,ReactJS,React Native,Redux,Testes automatizados,,,,,,,
"Vencida, Desenvolvedor(a) Ecommerce Próprio - PHP",Não especificado,Não Remoto,PJ,3.000,JavaScript,MySQL,PHP,SQL Server,RESTful,,,,,,,
